City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Torbay,CA,2022-02-02 15:58:14,47.6666,-52.7314,30.49,78,40,4.61
126,Yellowknife,CA,2022-02-02 15:58:15,62.456,-114.3525,-35.72,77,20,4.61
127,Conde,BR,2022-02-02 15:58:15,-7.2597,-34.9075,87.26,62,40,11.5
128,Mogok,MM,2022-02-02 15:58:16,22.9167,96.5,47.97,71,0,2.59
129,Csanadpalota,HU,2022-02-02 15:58:17,46.25,20.7333,37.94,87,100,7.92
130,Noumea,NC,2022-02-02 15:58:17,-22.2763,166.4572,71.58,84,87,8.3
131,Kanigiri,IN,2022-02-02 15:58:17,15.4,79.5167,72.07,69,21,6.17
132,Havelock,US,2022-02-02 15:53:19,34.8791,-76.9013,52.93,85,18,1.01
133,Goure,NE,2022-02-02 15:58:18,13.9835,10.2704,80.02,6,9,8.46
134,Georgetown,MY,2022-02-02 15:54:20,5.4112,100.3354,82.33,89,40,1.99
135,Tura,IN,2022-02-02 15:58:19,25.5198,90.2201,56.23,64,0,4.25
136,Maniitsoq,GL,2022-02-02 15:58:19,65.4167,-52.9,2.52,87,100,17.34
137,Kaitangata,NZ,2022-02-02 15:58:19,-46.2817,169.8464,61.18,99,100,7.14
138,Fortuna,US,2022-02-02 15:58:20,40.5982,-124.1573,40.12,82,0,1.01
139,Esmeraldas,BR,2022-02-02 15:58:20,-19.7625,-44.3139,82.51,77,100,2.55
140,Hilo,US,2022-02-02 15:58:21,19.7297,-155.09,67.24,91,40,1.01
141,Hithadhoo,MV,2022-02-02 15:58:21,-0.6,73.0833,82.6,70,44,8.55
142,Rapid Valley,US,2022-02-02 15:59:21,44.0625,-103.1463,4.86,74,100,5.01
143,Victoria,HK,2022-02-02 15:54:53,22.2855,114.1577,60.24,91,100,8.99
144,Leningradskiy,RU,2022-02-02 15:59:22,69.3833,178.4167,-13.65,96,36,10.58
145,Naze,JP,2022-02-02 15:59:22,28.3667,129.4833,56.46,86,100,17.07
146,Vavuniya,LK,2022-02-02 15:59:23,8.7514,80.4971,67.35,88,5,3.42
147,East London,ZA,2022-02-02 15:59:23,-33.0153,27.9116,90.54,66,0,4.61
148,Carnarvon,AU,2022-02-02 15:59:24,-24.8667,113.6333,80.67,74,81,12.66
149,Castro,BR,2022-02-02 15:59:24,-24.7911,-50.0119,76.68,66,77,4.36
150,Kurumkan,RU,2022-02-02 15:59:25,54.3,110.3,-17.46,93,67,4.16
151,Faranah,GN,2022-02-02 15:59:25,10.0404,-10.7434,94.35,7,9,7.31
