City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
584,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,301.43,79,100,1.16,overcast clouds
585,Palauig,PH,15.435,119.9045,298.08,72,72,2.57,broken clouds
586,Port Blair,IN,11.6667,92.75,300.17,83,20,1.03,mist
587,Acapulco,MX,16.8634,-99.8901,301.05,69,0,3.6,clear sky
588,Cowra,AU,-33.8333,148.6833,288.3,77,0,4.1,clear sky
589,Fot,HU,47.6177,19.1887,277.56,50,33,2.24,scattered clouds
590,Gouyave,GD,12.1646,-61.7296,301.58,65,75,8.75,broken clouds
591,Ngunguru,NZ,-35.6167,174.5,295.46,98,100,7.08,overcast clouds
592,Richards Bay,ZA,-28.783,32.0377,295.89,84,100,4.59,light rain
593,Gat,IL,31.61,34.7642,284.53,72,77,3.26,broken clouds
594,Eyl,SO,7.9803,49.8164,296.65,69,53,4.95,broken clouds
595,College,US,64.8569,-147.8028,256.81,79,75,2.06,broken clouds
596,Hokitika,NZ,-42.7167,170.9667,286.66,78,100,3.48,overcast clouds
597,Onalaska,US,43.8844,-91.2351,266.51,57,100,3.58,overcast clouds
598,Hay River,CA,60.8156,-115.7999,252.13,77,75,1.54,light snow
599,Chapais,CA,49.7834,-74.8492,254.03,73,76,4.81,broken clouds
600,Amga,RU,60.8953,131.9608,244.48,100,100,0.55,overcast clouds
601,Makakilo City,US,21.3469,-158.0858,298.31,79,40,2.06,scattered clouds
602,Leninskoye,KZ,41.7589,69.3864,282.11,29,100,3.43,overcast clouds
603,Ouesso,CG,1.6136,16.0517,297.76,23,97,1.06,overcast clouds
604,Koumac,NC,-20.5667,164.2833,298.6,81,100,0.54,overcast clouds
605,Adre,TD,13.4667,22.2,292.05,17,4,6.67,clear sky
606,Awbari,LY,26.5921,12.7805,286.76,27,3,4.06,clear sky
607,Raudeberg,NO,61.9875,5.1352,276.59,93,100,2.24,overcast clouds
608,Solnechnyy,RU,50.7214,136.6319,256.6,98,100,0.56,overcast clouds
609,Balykshi,KZ,47.0667,51.8667,272.15,86,75,11.0,mist
610,Emerald,AU,-23.5333,148.1667,294.23,68,0,3.09,clear sky
611,Antofagasta,CL,-23.65,-70.4,294.94,64,2,4.28,clear sky
612,Wakkanai,JP,45.4094,141.6739,268.81,72,100,10.79,overcast clouds
613,Ratnagiri,IN,16.9833,73.3,294.13,83,11,2.42,few clouds
614,Talcahuano,CL,-36.7167,-73.1167,292.4,60,0,7.44,clear sky
615,Sherpur,BD,25.0188,90.0175,287.14,79,0,1.76,clear sky
616,Pankrushikha,RU,53.8319,80.3406,258.2,89,65,2.97,broken clouds
617,Gravdal,NO,68.1214,13.5031,276.7,81,100,16.34,light rain
618,Kargat,RU,55.1956,80.2811,259.5,88,100,3.3,overcast clouds
619,Quatre Cocos,MU,-20.2078,57.7625,299.87,84,100,8.15,light rain
620,Dubbo,AU,-32.25,148.6167,287.22,77,75,4.12,broken clouds
621,San Jose,US,37.3394,-121.895,290.09,57,75,0.0,broken clouds
622,Stepnogorsk,KZ,52.3544,71.8869,257.71,70,39,3.6,scattered clouds
623,Konevo,RU,62.1215,39.3192,259.62,93,73,3.52,broken clouds
624,Vanavara,RU,60.34,102.2797,264.62,95,100,2.67,light snow
625,Los Llanos De Aridane,ES,28.6585,-17.9182,291.55,83,0,6.17,clear sky
626,Tanete,ID,-3.9443,119.7848,296.95,97,100,0.75,overcast clouds
627,Atchison,US,39.563,-95.1216,279.27,56,1,8.77,clear sky
628,Bar-Le-Duc,FR,48.75,5.1667,277.36,90,17,4.78,few clouds
629,Libreville,GA,0.3925,9.4537,299.56,81,50,3.34,scattered clouds
630,Kostomuksha,RU,64.571,30.5767,265.45,93,100,5.07,light snow
631,Dharchula,IN,29.85,80.5333,278.38,48,0,3.08,clear sky
632,Nioro,GM,13.35,-15.75,306.48,8,1,2.72,clear sky
633,The Valley,AI,18.217,-63.0578,301.07,88,40,5.14,scattered clouds
634,Vychegodskiy,RU,61.247,46.8984,256.31,97,41,2.43,scattered clouds
635,Kapit,MY,2.0167,112.9333,296.05,100,100,0.6,light rain
636,Chiredzi,ZW,-21.05,31.6667,297.68,62,31,4.9,scattered clouds
637,High Level,CA,58.5169,-117.136,251.21,77,40,0.0,scattered clouds
638,Bunia,CD,1.5667,30.25,293.62,56,100,0.96,overcast clouds
639,Pokhara,NP,28.2333,83.9833,280.02,70,6,2.93,clear sky
640,Tabou,CI,4.423,-7.3528,300.03,81,15,3.63,few clouds
641,Gallup,US,35.5281,-108.7426,276.57,39,0,0.0,clear sky
642,Bitung,ID,1.4451,125.1824,297.62,86,100,4.88,overcast clouds
643,Chifeng,CN,42.2683,118.9636,258.68,78,3,2.1,clear sky
644,Ha Giang,VN,22.8333,104.9833,285.85,98,100,1.34,light rain
645,Berdigestyakh,RU,62.0989,126.6992,242.95,100,99,0.41,overcast clouds
646,Sibolga,ID,1.7427,98.7792,297.34,90,100,1.45,overcast clouds
647,Sibu,MY,2.3,111.8167,298.32,94,40,1.34,scattered clouds
648,Kipushi,CD,-11.7667,27.2333,289.88,96,100,2.02,overcast clouds
649,Kuala Terengganu,MY,5.3302,103.1408,300.12,83,40,3.09,scattered clouds
650,Marzuq,YE,14.4,46.4667,293.01,40,20,2.04,few clouds
651,Marsa Matruh,EG,31.3525,27.2453,285.26,76,75,3.09,broken clouds
652,Sorata,BO,-15.7667,-68.6333,285.61,76,100,2.04,overcast clouds
653,Komatipoort,ZA,-25.4332,31.9548,296.51,88,97,4.24,overcast clouds
654,Rio Grande,BR,-32.035,-52.0986,302.21,76,100,5.39,overcast clouds
655,Ciamis,ID,-7.3257,108.3534,296.63,95,86,1.03,overcast clouds
656,Umm Lajj,SA,25.0213,37.2685,291.67,60,0,5.7,clear sky
657,Pisz,PL,53.6274,21.8125,276.29,88,100,5.63,overcast clouds
658,Whitehorse,CA,60.7161,-135.0538,263.6,85,75,5.66,broken clouds
659,Huarmey,PE,-10.0681,-78.1522,298.14,70,12,5.48,few clouds
660,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,264.48,62,0,5.0,clear sky
661,Haysville,US,37.5645,-97.3523,278.37,49,0,3.58,clear sky
662,Inzer,RU,54.2167,57.5556,268.49,92,100,1.36,overcast clouds
663,Salym,RU,60.0625,71.4789,265.85,97,100,1.63,overcast clouds
664,Vestmanna,FO,62.1564,-7.1664,274.66,64,100,16.98,overcast clouds
665,Obu,JP,35.0,136.9667,275.13,86,14,4.25,few clouds
666,Pinheiro,BR,-2.5214,-45.0825,302.03,73,43,2.55,scattered clouds
667,Dawei,MM,14.0833,98.2,295.13,91,32,1.71,scattered clouds
668,Urucara,BR,-2.5364,-57.76,301.87,77,100,1.01,overcast clouds
669,Narasimharajapura,IN,13.6167,75.5167,289.87,82,79,0.79,broken clouds
670,Hamina,FI,60.5697,27.1979,269.81,97,100,4.12,light snow
671,Samarai,PG,-10.6167,150.6667,299.79,82,100,3.94,overcast clouds
672,Zhoucheng,CN,35.9122,116.3117,271.07,36,10,0.25,clear sky
673,Brae,GB,60.3964,-1.353,278.1,62,100,16.69,overcast clouds
674,Mersing,MY,2.4312,103.8405,300.1,83,100,6.17,overcast clouds
675,Goma,CD,-1.6792,29.2228,290.78,85,100,1.62,overcast clouds
676,Kismayo,SO,-0.3582,42.5454,298.93,80,95,5.35,overcast clouds
677,Banda Aceh,ID,5.5577,95.3222,299.29,78,100,2.2,overcast clouds
678,Wajima,JP,37.4,136.9,273.91,66,100,9.71,light snow
679,Namatanai,PG,-3.6667,152.4333,299.81,78,75,4.25,broken clouds
680,Honningsvag,NO,70.9821,25.9704,271.51,73,20,14.78,few clouds
681,Mangrol,IN,21.1167,70.1167,292.34,69,0,2.47,clear sky
682,Poros,GR,37.4994,23.4536,285.72,61,77,0.87,broken clouds
683,Kununurra,AU,-15.7667,128.7333,299.14,94,100,0.0,overcast clouds
684,Lincoln,US,40.8,-96.667,284.36,38,0,4.47,clear sky
685,Dunedin,NZ,-45.8742,170.5036,284.71,76,39,0.89,scattered clouds
686,Sept-Iles,CA,50.2001,-66.3821,260.96,44,75,0.89,broken clouds
687,Deputatskiy,RU,69.3,139.9,238.79,97,91,1.39,overcast clouds
688,Mazatlan,MX,23.2167,-106.4167,295.32,61,0,2.24,clear sky
689,Igrim,RU,63.1906,64.4162,250.27,100,92,1.81,overcast clouds
690,Rundu,NA,-17.9333,19.7667,293.24,87,48,1.6,light rain
691,Kiruna,SE,67.8557,20.2251,267.66,93,100,9.77,overcast clouds
692,Tanout,NE,14.9709,8.8879,291.11,12,0,5.34,clear sky
693,Sardarpur,IN,22.678,74.9484,289.46,23,0,1.75,clear sky
694,Jalalpur Jattan,PK,32.6374,74.2183,283.08,93,100,1.54,mist
695,Vidim,RU,56.4088,103.1106,267.77,95,100,4.65,light snow
